epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.525,2.19953,4.04183,2.42363,0.12565,0.28801,0.05823,0.01744,2.42406,4.57011,3.14924,0.000469529,0.000469529,0.000469529
2,749.134,2.13608,2.99773,2.357,0.0268,0.05357,0.02027,0.00474,3.0874,4.59371,4.18139,0.000935457,0.000935457,0.000935457
3,1123.46,2.16967,2.99604,2.33755,0.11424,0.22073,0.0412,0.01058,2.49806,6.55359,3.05533,0.00139091,0.00139091,0.00139091
4,1466.48,2.182,3.01245,2.3972,0.03085,0.19722,0.02783,0.00745,2.58372,3.63665,2.96523,0.00138184,0.00138184,0.00138184
5,1832.17,2.13247,2.92145,2.38088,0.09925,0.11151,0.05944,0.01511,2.47197,3.0324,2.73888,0.00136612,0.00136612,0.00136612
6,2222.71,2.09106,2.78665,2.30567,0.09299,0.28572,0.07704,0.02081,2.57086,3.28304,2.90944,0.0013504,0.0013504,0.0013504
7,2600.07,2.14745,2.80513,2.36495,0.13643,0.21323,0.08377,0.02034,2.63482,4.18143,3.06025,0.00133469,0.00133469,0.00133469
8,2975.25,2.0653,2.8301,2.30514,0.03978,0.28452,0.0504,0.01339,2.39969,4.05023,2.64683,0.00131897,0.00131897,0.00131897
9,3305.94,2.10448,2.7812,2.22397,0.13623,0.40869,0.15657,0.04482,2.27441,3.04791,2.51496,0.00130325,0.00130325,0.00130325
10,356.16,2.08735,2.71991,2.29579,0.15632,0.37676,0.12932,0.03395,2.30615,3.36014,2.67542,0.00128753,0.00128753,0.00128753
11,699.27,2.01631,2.67897,2.24887,0.15429,0.31362,0.11012,0.02936,2.49249,2.81777,2.72392,0.00127181,0.00127181,0.00127181
12,1040.12,2.06909,2.6078,2.22027,0.10184,0.29048,0.13471,0.03316,2.30783,4.06547,2.62626,0.00125609,0.00125609,0.00125609
13,384.46,1.98005,2.60805,2.19499,0.61867,0.2201,0.21683,0.06585,2.25721,3.41824,2.60904,0.00124037,0.00124037,0.00124037
14,712.028,1.94184,2.48108,2.19301,0.17541,0.39454,0.18272,0.05588,2.16756,2.70295,2.59525,0.00122465,0.00122465,0.00122465
